Ticker,Buy_Date,Sell_Date,Buy_Price,Sell_Price,Profit,Return_%,Win
TCS.NS,2025-05-30 00:00:00,2025-06-06 00:00:00,3463.4,3384.2,-79.2,-2.29,FALSE
TCS.NS,2025-06-03 00:00:00,2025-06-10 00:00:00,3405.2,3462.9,57.7,1.69,TRUE
TCS.NS,2025-06-04 00:00:00,2025-06-11 00:00:00,3380.9,3471.9,91,2.69,TRUE
TCS.NS,2025-06-05 00:00:00,2025-06-12 00:00:00,3371.1,3434.2,63.1,1.87,TRUE
TCS.NS,2025-06-06 00:00:00,2025-06-13 00:00:00,3384.2,3445.7,61.5,1.82,TRUE
TCS.NS,2025-06-09 00:00:00,2025-06-16 00:00:00,3421.9,3496.3,74.4,2.17,TRUE
TCS.NS,2025-06-12 00:00:00,2025-06-19 00:00:00,3434.2,3424,-10.2,-0.3,FALSE
TCS.NS,2025-06-13 00:00:00,2025-06-20 00:00:00,3445.7,3435.7,-10,-0.29,FALSE
INFY.NS,2025-05-30 00:00:00,2025-06-06 00:00:00,1562.7,1563.8,1.1,0.07,TRUE
INFY.NS,2025-06-03 00:00:00,2025-06-10 00:00:00,1543,1596,53,3.43,TRUE
INFY.NS,2025-06-04 00:00:00,2025-06-11 00:00:00,1551.2,1631.1,79.9,5.15,TRUE
INFY.NS,2025-06-05 00:00:00,2025-06-12 00:00:00,1554.3,1608.6,54.3,3.49,TRUE
INFY.NS,2025-07-23 00:00:00,2025-07-30 00:00:00,1574.5,1519,-55.5,-3.52,FALSE
INFY.NS,2025-07-24 00:00:00,2025-07-31 00:00:00,1552.5,1509,-43.5,-2.8,FALSE
INFY.NS,2025-07-25 00:00:00,2025-08-01 00:00:00,1515.7,1469.6,-46.1,-3.04,FALSE
INFY.NS,2025-07-28 00:00:00,2025-08-01 00:00:00,1516,1469.6,-46.4,-3.06,FALSE
